model,dataset,averaging_mode,accuracy_mean,accuracy_std,recall_mean,recall_std,precision_mean,precision_std,f_measure_mean,f_measure_std,specificity_mean,specificity_std,tp_rate_mean,tp_rate_std,fp_rate_mean,fp_rate_std
ID3Classifier,car.data,micro,0.960,0.011,0.922,0.020,0.922,0.020,0.922,0.020,0.973,0.007,0.922,0.020,0.027,0.007
ID3Classifier,car.data,macro,0.960,0.011,0.829,0.065,0.838,0.060,0.827,0.057,0.962,0.008,0.829,0.065,0.038,0.008
OneVsRestClassifier,car.data,micro,0.961,0.003,0.925,0.006,0.925,0.006,0.925,0.006,0.974,0.002,0.925,0.006,0.026,0.002
OneVsRestClassifier,car.data,macro,0.961,0.003,0.869,0.044,0.834,0.039,0.849,0.036,0.964,0.004,0.869,0.044,0.036,0.004
OneVsOneClassifier,car.data,micro,0.978,0.007,0.957,0.013,0.957,0.013,0.957,0.013,0.985,0.005,0.957,0.013,0.015,0.005
OneVsOneClassifier,car.data,macro,0.978,0.007,0.944,0.017,0.936,0.038,0.937,0.027,0.982,0.008,0.944,0.017,0.018,0.008
ID3Classifier,balance-scale.data,micro,0.744,0.043,0.661,0.051,0.661,0.051,0.661,0.051,0.795,0.037,0.661,0.051,0.205,0.037
ID3Classifier,balance-scale.data,macro,0.753,0.040,0.478,0.046,0.453,0.027,0.462,0.037,0.774,0.038,0.478,0.046,0.226,0.038
OneVsRestClassifier,balance-scale.data,micro,0.767,0.044,0.688,0.053,0.688,0.053,0.688,0.053,0.814,0.037,0.688,0.053,0.186,0.037
OneVsRestClassifier,balance-scale.data,macro,0.769,0.044,0.497,0.043,0.503,0.030,0.499,0.036,0.799,0.040,0.497,0.043,0.201,0.040
OneVsOneClassifier,balance-scale.data,micro,0.774,0.021,0.696,0.025,0.696,0.025,0.696,0.025,0.821,0.018,0.696,0.025,0.179,0.018
OneVsOneClassifier,balance-scale.data,macro,0.776,0.022,0.503,0.015,0.505,0.017,0.501,0.011,0.802,0.017,0.503,0.015,0.198,0.017
ID3Classifier,NPHA-doctor-visits.csv,micro,0.487,0.051,0.388,0.048,0.388,0.048,0.388,0.048,0.558,0.051,0.388,0.048,0.442,0.051
ID3Classifier,NPHA-doctor-visits.csv,macro,0.492,0.048,0.342,0.046,0.345,0.049,0.340,0.047,0.541,0.049,0.342,0.046,0.459,0.049
OneVsRestClassifier,NPHA-doctor-visits.csv,micro,0.467,0.050,0.370,0.046,0.370,0.046,0.370,0.046,0.539,0.050,0.370,0.046,0.461,0.050
OneVsRestClassifier,NPHA-doctor-visits.csv,macro,0.469,0.050,0.339,0.032,0.348,0.034,0.333,0.034,0.531,0.049,0.339,0.032,0.469,0.049
OneVsOneClassifier,NPHA-doctor-visits.csv,micro,0.497,0.038,0.398,0.036,0.398,0.036,0.398,0.036,0.568,0.037,0.398,0.036,0.432,0.037
OneVsOneClassifier,NPHA-doctor-visits.csv,macro,0.502,0.038,0.345,0.037,0.345,0.032,0.343,0.035,0.546,0.037,0.345,0.037,0.454,0.037
